"State","CD#","2018 Cook PVI Score","2018 Winner","Party","Dem Votes","GOP Votes","Other Votes","Dem %","GOP %","Other %","Dem Margin%","2016 Clinton Margin","Swing vs. 2016 Prez","2016 Total Votes Cast","Raw Votes vs. 2016 ","Final?"
"Kansas","1","R+24","Roger Marshall","R","69,076","149,708","0","31.6%","68.4%","0.0%","-36.9%","-44.8%","7.9%","265,883","82.3%",""
"Kansas","2","R+10","Steve Watkins","R","120,421","124,895","14,402","46.4%","48.1%","5.5%","-1.7%","-18.3%","16.6%","296,810","87.5%",""
"Kansas","3","R+4","Sharice Davids","D","164,253","136,104","7,643","53.3%","44.2%","2.5%","9.1%","1.2%","7.9%","344,468","89.4%",""
"Kansas","4","R+15","Ron Estes","R","93,384","138,856","0","40.2%","59.8%","0.0%","-19.6%","-27.0%","7.4%","276,300","84.1%",""
"Kentucky","1","R+23","James Comer","R","78,849","172,166","0","31.4%","68.6%","0.0%","-37.2%","-48.5%","11.3%","310,384","80.9%",""
"Kentucky","2","R+19","Brett Guthrie","R","79,994","171,700","5,681","31.1%","66.7%","2.2%","-35.6%","-39.9%","4.3%","324,647","79.3%",""
"Kentucky","3","D+6","John Yarmuth","D","172,999","101,929","3,788","62.1%","36.6%","1.4%","25.5%","14.9%","10.6%","340,045","82.0%",""
"Kentucky","4","R+18","Thomas Massie","R","90,533","162,943","8,318","34.6%","62.2%","3.2%","-27.7%","-35.9%","8.2%","337,433","77.6%",""
"Kentucky","5","R+31","Hal Rogers","R","45,965","172,359","0","21.1%","78.9%","0.0%","-57.9%","-62.1%","4.2%","278,451","78.4%",""
"Kentucky","6","R+9","Andy Barr","R","144,730","154,468","3,684","47.8%","51.0%","1.2%","-3.2%","-15.3%","12.1%","333,174","90.9%",""
"Louisiana","1","R+24","Steve Scalise","R","71,499","192,526","5,248","26.6%","71.5%","1.9%","-44.9%","-42.2%","-2.7%","354,783","75.9%",""
"Louisiana","2","D+25","Cedric Richmond","D","190,066","0","45,788","80.6%","0.0%","19.4%","80.6%","52.7%","","329,648","71.5%",""
"Louisiana","3","R+20","Clay Higgins","R","74,710","168,258","2,967","30.4%","68.4%","1.2%","-38.0%","-38.1%","0.1%","343,017","71.7%",""
"Louisiana","4","R+13","Mike Johnson","R","72,923","139,307","4,612","33.6%","64.2%","2.1%","-30.6%","-24.0%","-6.6%","318,392","68.1%",""
"Louisiana","5","R+15","Ralph Abraham","R","67,113","149,010","7,810","30.0%","66.5%","3.5%","-36.6%","-29.4%","-7.2%","323,222","69.3%",""
"Louisiana","6","R+19","Garret Graves","R","76,697","186,502","5,254","28.6%","69.5%","2.0%","-40.9%","-34.1%","-6.8%","353,229","76.0%",""
"Maine","1","D+8","Chellie Pingree","D","198,853","109,714","29,569","58.8%","32.4%","8.7%","26.4%","14.8%","11.6%","394,329","85.7%",""
"Maine","2","R+2","","","129,556","131,466","23,433","45.5%","46.2%","8.2%","-0.7%","-10.3%","9.6%","353,416","80.5%",""
